0.383	0.504	0.433	0.57	0.521	0.353	0.441	0.36	0	0.523	0.245	0.693	0.698	0.688	0.677	0.295	0.361	0.733	0.659	0.281	1.266	0.974
-0.34	-0.36	-0.01	0.037	-0.43	-0.08	-0.24	-0.71	-0.7	-0.58	-1.31	-0.57	0	-0.62	0	-0.07	-0.03	-0.28	-0.05	-0.61	-0.63	-0.55
-0.05	0.018	0.11	0.099	0.041	0.18	0.081	-0.05	-0.04	-0.2	-0.46	-0.31	0	-0.22	0	0.109	0	0.018	0.43	-0.02	0.09	-0.21
-0.13	-0.12	0.072	-0.07	0.036	0.113	0.147	0.184	0.151	-0.51	-0.28	0.056	0	-0.33	0	0.184	0	-0.37	0.503	0.359	-0.41	-0.26
0.266	0.348	0.215	0.327	0.282	0.416	0.423	0.747	0.495	0.366	0.247	0.461	0.494	0.516	0.541	0.427	0.391	0.035	0.484	0.322	-0.13	0.231
-0.13	-0.09	0.191	-0.13	-0.06	0.07	0.062	-0.01	-0.09	0.076	-0.11	0.28	0.227	0.156	0	0.043	-0.03	-0.07	0.645	0.184	0.142	0.15
-0.31	-0.34	-0.32	-0.24	-0.16	-0.02	-0.1	-0.39	-0.02	-0.42	-0.71	0.094	0	-0.32	0	0.093	-0.06	-0.27	0.193	0.014	-0.34	-0.18
-0.15	-0.23	-0.01	-0.24	-0.15	-0.18	-0.07	-0.23	-0.2	0.011	-0.04	-0.22	0	-0.15	0	-0.21	-0.06	0.00066	-0.27	-0.24	-0.46	0.024
-0.16	-0.17	0	-0.07	-0.11	-0.03	-0.06	0.101	-0.12	-1.35	-2.34	-1.57	-1.93	-2.51	-0.08	-0.04	-0.17	-0.95	-0.89	-0.83	-3.5	-2.36
-0.07	-0.01	0.054	-0.15	0.014	0.153	0.043	-0.08	0.082	-0.5	-0.56	0.073	0	-0.46	0	0	0.252	-0.16	0.443	0.203	-1.15	-0.25
0.358	0.396	0.294	0.243	0.264	0.136	0.166	0.148	0.019	0.059	-0.26	0.182	0.167	0.3	0.72	0.225	0.291	0.255	0.377	0.205	-0.53	0.133
-0.53	-0.49	-0.22	-0.39	-0.3	-0.28	-0.49	0.011	-0.38	-0.38	-0.64	-0.16	0	-0.34	0	0.097	0.125	-0.36	0.475	0.174	-0.96	-0.5
0.116	0.12	0.39	-0.18	-0.17	-0.22	-0.32	-0.3	-0.66	-0.33	-0.44	-0.1	0	-0.05	0	0.127	0.233	0.529	-0.37	-0.12	-0.43	0.059
0.233	0.208	0.408	0.229	0.315	0.267	0.337	0.446	0.135	-0.13	-0.72	-0.01	0	-0.49	0	0.256	0.194	0.066	-0.08	0.273	0.455	-0.49
-0.23	-0.19	-0.11	-0.2	-0.18	-0.34	-0.32	-0.03	-0.15	-0.2	-0.2	-0.28	-0.29	-0.14	0.031	-0.28	-0.24	-0.14	-0.26	-0.16	-0.39	-0.09
0.277	0.28	0.255	0.145	0.202	0.135	0.21	0.122	0.00039	-0.16	-0.44	-0.05	-0.22	0.038	0	0.131	0.206	0.257	-0.16	0.001	-0.46	-0.22
0.116	0.191	0.047	0.029	0.195	-0.28	-0.1	0.082	-0.03	0.076	0.136	0.029	-0.11	0.12	-0.37	-0.26	-0.23	-0.01	-0.05	-0.02	0.021	0.257
-0.1	-0.06	0.166	-0.04	0.008	-0.01	0.098	0.133	0.056	0.008	-0.29	0.076	0	0.159	-0.15	-0.02	0.007	-0.04	-0.12	0.025	-0.06	0.012
-0.3	-0.25	-0.31	-0.34	-0.28	-0.52	-0.44	-0.47	-0.58	-0.38	-0.51	-0.47	-0.57	-0.34	-0.47	-0.82	-0.6	-0.24	-0.56	-0.65	-0.59	-0.22
0.516	0.475	0.468	0.279	0.378	0.35	0.345	0.653	0.64	0.09	0.052	0.122	0.002	0.405	0.588	0.665	0.679	0.674	0.259	0.393	-0.17	0
-0.28	0.078	0.164	0.134	0.198	0.108	0.141	0.395	0.033	0.078	-0.31	0.046	0	-0.06	0	0	0.227	0.15	-0.04	0	-0.53	-0.08
-0.12	-0.26	-0.1	-0.06	-0.11	-0.04	0.099	0.422	0.084	0	0.043	0.452	0	0.213	0	0.09	0.075	0	0	0	0	0.199
-0.07	0.199	0.095	0.188	0.257	0.196	0.279	0.533	0.22	0.063	-0.25	-0.1	0	-0.32	0	0.109	0.347	0.1	0.188	0.175	-0.35	-0.25
0.224	0.309	-0.13	0.361	0.462	0.213	0.263	0.181	0.207	0.00069	0.144	0.088	0	0.139	0	0.175	0.222	0.075	0	0.175	-0.49	-0.07
-0.18	-0.22	-0.18	-0.12	-0.06	-0.03	0.049	0.242	0	-0.45	-0.69	0.233	0	-0.57	0	0.12	0.184	-0.2	0.141	-0.05	-0.71	-0.34
0.109	0.239	0.134	-0.15	0.092	0.129	-0.02	-0.12	-0.16	-0.53	-1.09	0.067	0	-0.27	0	0	0.234	0.119	0.269	0.007	-1.11	-0.68
-0.02	-0.03	-0.04	0.069	0.076	-0.11	-0.02	0.011	-0.04	0.166	0.659	0.002	-0.04	0.085	0	-0.06	0.182	-0.05	0.177	-0.08	0.115	-0.06
-0.34	-0.34	0.122	-0.19	-0.19	-0.16	-0.16	-0.21	-0.11	0.022	-0.37	-0.14	0	-0.14	0	-0.05	-0.03	-0.08	0.256	0.235	-0.75	0.222
0.161	0.248	-0.17	0.242	0.314	-0.16	0.037	0.00041	-0.25	0.077	0.203	-0.26	-0.23	-0.01	0.427	-0.33	-0.29	-0.15	-0.09	-0.19	0.179	0.227
-0.11	-0.22	0.129	-0.18	-0.05	-0.12	-0.11	-0.26	-0.06	-0.27	0.055	0.351	0	-0.38	0	0.107	0.077	-0.22	0.518	0.483	-0.69	-0.24
-0.7	-0.75	-0.59	-0.57	-0.42	-1.03	-0.84	-0.55	-0.64	-0.34	-0.31	-0.61	-0.57	-0.4	-0.31	-0.73	-0.7	-0.52	-0.73	-0.65	-0.8	-0.08
-0.19	-0.19	0.056	-0.19	-0.12	-0.39	-0.21	-0.09	-0.01	0.067	-0.82	-0.03	0	-0.06	0	0.232	0.173	-0.13	0.035	0.074	-1.31	0.043
-0.23	-0.27	-0.27	-0.28	-0.17	-0.45	-0.58	-0.36	-0.42	-0.46	-1.15	-0.63	0	-0.88	0.309	0.05	-0.02	-0.15	-0.13	-0.27	-0.99	-0.48
-0.2	-0.26	-0.23	-0.26	-0.08	-0.24	-0.31	-0.39	-0.31	-0.07	-0.78	-0.41	0	-0.38	0	-0.03	-0.16	-0.27	-0.08	-0.14	-0.68	-0.09
-0.12	-0.12	-0.33	-0.17	-0.03	-0.33	-0.37	-0.05	-0.23	-0.35	-0.73	-0.39	0	-0.59	0.525	0.19	0.085	-0.2	-0.04	-0.16	-0.45	-0.37
