0.867	0.761	-0.28	0	0.037	-0.08	-0.37	-0.81	-0.29	-0.34	-0.38	-0.6	-0.79	-0.33	-0.32	-0.23	-0.21	0.31	0.503
0.646	-0.2	0.149	-0.1	-0.4	-0.28	-0.26	-0.5	-0.19	-0.09	-0.14	0.171	0.111	-0.84	0.372	-0.39	-0.34	-0.22	-0.2
0.374	0.3	-0.41	0	0.051	0.008	-0.31	-0.64	-0.13	-0.19	-0.13	0.009	-0.02	-0.3	-0.19	-0.21	-0.24	-0.05	0.101
-0.3	-0.14	0.201	0.148	-0.03	-0.2	0.058	-0.06	-0.24	-0.16	-0.1	-0.04	-0.16	-0.07	-0.13	-0.08	-0.34	-0.05	-0.27
0.604	0.494	0.341	0.641	0.572	0.379	0.504	0.543	0.686	0.773	0.765	0.659	0.895	0.619	0.65	0.616	0.655	0.575	0.625
0.694	0.117	0.242	0.033	-0.12	0.094	-0.15	-0.19	-0.02	0.09	-0.02	0.17	0.163	0.023	0.014	0.004	0.017	0.221	0.14
0.009	0.052	-0.12	0	0.226	-0.16	0.076	0.07	0.174	0.194	0.021	0.193	0.221	-0.11	-0.04	-0.02	-0.11	0.06	0.183
0	0.313	0.369	0.125	0	0.315	0.116	-0.08	-0.08	0.038	0.035	-0.15	-0.24	0.011	-0.03	-0.03	-0.07	0.176	0.143
0.123	0.067	0.012	0.169	0.215	0.1	0.085	-0.05	0.462	0.626	0.214	0.301	0.452	-0.17	-0.13	-0.04	-0.02	0.191	0.146
0	0.101	0.491	0.236	0.123	0.106	-0.2	-0.51	-0.13	-0.07	-0.13	0.203	0.118	-2.29	-0.55	-0.07	-0.4	-0.11	-0.24
0.962	0.89	0.047	0.361	0.325	0.707	-0.05	-0.13	0.197	0.263	0.403	0.038	0.124	-0.16	-0.18	0.078	0.131	0.587	0.328
-0.12	-0.06	0.4	0.103	-0.03	-0.2	-0.14	-0.11	0.25	0.269	-0.32	0.199	0.083	-0.24	-0.21	0.158	0.078	-0.03	-0.04
