-0.89	-0.53	-0.14	0.452	0.009	-0.43	-0.52	-0.33	-0.83	-0.16	-0.24	0.048	0.18	-0.2	-0.24	0.634	-1.4	-1.96
0.071	0	0.243	0.341	0.109	1.87	1.722	0.955	1.076	0.674	0.675	-0.31	-0.08	-0.11	-0.13	0.364	0.146	0.327
0.089	0.143	1.303	0.157	0.053	1.896	1.961	1.935	1.64	0.173	0.327	0.247	0.412	0.859	0.839	1.459	0.3	0.191
1.024	0.942	-0.76	-0.61	-0.35	-0.59	-0.56	-0.3	-0.3	-0.08	-0.26	0.458	0.485	3.113	4.204	-0.28	-0.78	-0.97
-0.99	-0.98	-0.71	-1.4	-1.16	-1.82	-1.97	-1.41	-1.39	-0.39	-0.87	0.265	0.312	0.252	0.34	0.201	-2.39	-2.47
-1.95	-1.31	-2.1	-3.51	-1.89	-2.6	-2.5	-3.33	-3.83	-1.29	-1.93	-0.27	-0.26	0	-0.81	-0.91	-1.39	-1.81
-0.18	-0.2	-0.29	-0.27	-0.23	-1.29	-0.87	-0.54	-0.26	0.006	-0.17	-0.18	-0.16	0	-0.41	-0.32	-1.29	-1.26
0.165	0.286	0.5	1.041	0.606	0.633	0.515	0.669	0.724	0.431	0.329	-0.17	-0.21	0.107	0.055	0.256	0.481	0.552
-0.64	-0.55	-0.1	-1.6	-1.09	-0.95	-1.06	-0.99	-0.89	-0.46	-0.51	0.134	0.154	-0.61	-0.36	-0.08	-2.05	-1.89
0	0.021	-1.02	-0.39	-0.09	-0.47	-0.46	-0.56	-0.27	0.076	0.005	1.068	0	-0.31	-0.03	-0.04	0.743	0.052
0.837	1.101	1.566	1.481	1.442	0.995	0.847	1.387	1.264	0.174	0.326	0.29	0.345	0.551	0.839	2.295	0.339	0.348
0.308	0.474	0.807	0.424	0.04	0.803	0.672	0.306	0.428	0.018	0.049	-0.24	-0.01	0.004	0.095	0.114	0.409	0.399
0.014	0.066	0.959	0.314	0.401	0.352	0.496	0.196	0.217	0.107	-0.13	0.469	0.471	0.331	0.244	1.335	0.26	0.347
-0.27	-1.36	-1.6	-1.78	-0.58	-1.14	-2.28	-1.73	-1.93	-0.91	-1.49	-0.68	-0.1	0	-1.4	-1	-0.06	-0.59
-0.27	-0.17	-1.17	-0.47	-0.18	-1.01	-0.98	-0.46	-0.68	-0.09	-0.21	-0.3	-0.23	-0.58	-0.59	-0.44	-1.04	-0.78
-0.49	-0.47	-1.74	-0.38	-0.08	-1.1	-1.6	-1.1	-1.06	-0.37	-0.51	-0.23	-0.25	-0.07	-0.05	-0.22	-0.46	-1.16
-0.7	-0.57	-1.23	-0.61	-0.39	-1.86	-1.5	-0.67	-0.79	-0.48	-0.37	-0.49	-0.44	-0.02	0.084	-0.74	-0.97	-0.93
-1.32	-1.31	-1.52	-2.16	-1.23	-2	-2.03	-1.78	-1.46	-1.12	0	-0.01	-0.09	-0.26	-0.26	-0.52	-1.17	-1.6
0.129	0.194	-0.47	-0.2	-0.03	0.01	0.124	-0.18	-0.18	-0.2	-0.2	0.13	0.15	-0.53	-0.44	-0.63	-0.1	0.056
0.854	0.845	1.235	1.814	1.338	1.209	1.077	0.877	0.973	0.69	0.766	0.314	0.174	1.042	1.105	2.104	1.693	1.529
